File,X,Y,Z
F10SU4V2,-0.272,1.023,-0.135
F10SU5V1,-0.256,1.026,-0.184
F11A0V1,0.47,1.022,-1.867
F11A0V2,-0.117,1.024,-0.017
F11A1V1,-0.088,0.843,0.179
F11A1V2,-0.057,1.02,0.257
F11A2V1,0.041,1.018,0.172
F11A3V1,-0.156,1.023,0.204
F11A3V2,-0.242,1.014,0.08
F11A4V1,-0.38,1.012,0.193
F11A4V2,-0.471,1.017,0.21
F11A5V1,-0.556,1.023,0.358
F11D0V1,-0.912,1.014,-0.372
F11D0V2,-1.011,1.019,-0.372
F11D1V1,-2.078,1.014,-0.48
F11D2V1,-2.244,1.019,0.323
F11D2V2,-2.443,1.01,0.505
F11D3V1,-2.57,1.014,0.369
F11D4V1,-2.535,1.018,-0.123
F11D5V1,-2.702,1.017,-0.09
F11D5V2,-2.882,1.04,0.071
F11F0V1,-0.457,1.017,0.064
F11F0V2,-0.606,1.022,-0.082
F11F0V3,-0.713,1.01,0.077
F11F1V1,-1.524,1.013,-0.391
F11F1V2,-1.692,1.02,-0.145
F11F2V1,-1.613,1.011,-0.253
F11F3V1,-1.658,1.011,-0.376
F11F4V1,-1.429,1.017,-0.584
F11F4V2,-1.625,1.007,-0.442
F11F5V1,-1.843,1.004,-0.552
F11H0V1,0.761,0.994,-2.133
F11H1V1,-1.292,1.018,0.269
F11H1V2,-0.479,1.041,-0.012
F11H2V1,-0.076,1.025,0.064
F11H3V1,-0.643,1.028,0.295
F11H4V1,-0.709,1.026,0.355
F11H5V1,-0.044,1.035,-0.063
F11N1V1,-1.148,1.016,-0.175
F11N1V2,-1.254,1.021,-0.367
F11N1V3,-1.265,1.024,-0.269
F11N2V1,-1.271,1.019,-0.292
F11N3V1,-1.501,1.022,-0.481
F11N4V1,-1.451,1.026,-0.543
F11N5V1,-1.499,1.025,-0.415
F11SA0V1,-0.324,1.018,-0.03
F11SA1V1,-0.615,1.025,0.511
F11SA2V1,-0.763,1.027,0.473
F11SA3V1,-0.873,1.025,0.357
F11SA3V2,-0.871,1.021,0.3
F11SA4V1,-0.918,1.021,0.295
F11SA4V2,-1.045,1.019,0.266
F11SA5V1,-1.21,1.023,0.226
F11SU0V1,-1.189,1.022,-0.402
F11SU1V1,-3.119,1.009,0.146
F11SU1V2,-3.185,1.011,-0.036
F11SU2V1,-3.134,1.012,-0.125
F11SU3V1,-3.263,1.021,-0.042
F11SU3V2,-3.283,1.001,-0.293
F11SU4V1,-3.03,1.017,-0.492
F11SU4V2,-3.118,1.022,-0.5
F11SU5V1,-3.145,1.003,-0.521
F12A0V1,0.935,1.026,-1.163
F12A1V1,-0.755,1.027,-0.691
F12A2V1,-0.827,1.025,-0.636
F12A3V1,-0.435,1.026,-0.062
F12A4V1,-0.203,1.026,0.018
F12A4V2,-0.214,1.024,0.174
F12A5V1,-0.238,1.024,0.152
F12D0V1,-0.638,1.027,0.101
F12D0V2,-0.667,1.027,0.02
F12D1V1,-0.713,1.025,-0.297
F12D2V1,-0.743,1.027,-0.293
F12D3V1,-0.769,1.026,-0.274
F12D3V2,-0.696,1.025,-0.353
F12D4V1,-0.719,1.027,-0.417
F12D4V2,-0.782,1.026,-0.46
F12D5V1,-0.756,1.025,-0.611
F12F0V1,-0.533,1.025,-0.02
F12F1V1,-0.199,1.026,0.185
F12F2V1,-0.082,1.026,0.288
F12F3V1,-0.186,1.02,0.303
F12F4V1,-0.211,1.022,0.254
F12F5V1,-0.599,1.026,-0.138
F12H0V1,1.193,1.026,-2.449
F12H0V2,0.994,1.025,-1.994
F12H0V3,0.807,1.026,-1.366
F12H1V1,-0.589,1.027,-0.179
F12H2V1,-0.577,1.025,-0.256
F12H3V1,-0.63,1.026,-0.154
F12H4V1,-0.606,1.026,-0.103
F12H5V1,-0.477,1.027,0.065
F12N1V1,-0.705,1.026,-0.046
F12N2V1,-0.725,1.026,-0.09
F12N3V1,-0.787,1.026,-0.159
F12N4V1,-0.817,1.028,-0.227
F12N5V1,-0.718,1.027,-0.341
F12SA0V1,-0.417,1.026,-0.008
F12SA1V1,-0.498,1.03,-0.198
